Код;30;60;90;180;365
27877;12;12;12;12;12
34565;24;24;24;24;50
37112;10;10;10;10;10
34563;9;19;30;42;83
34561;30;38;46;102;159
34534;12;12;12;92;119
34562;30;45;64;151;220
28091;9;9;18;26;26
28086;4;4;4;4;4
36850;11;25;35;36;36
36832;16;16;16;16;16
37568;30;33;33;33;33
36845;15;29;41;57;57
38296;22;22;22;22;22
38291;16;16;16;16;16
31063;12;12;12;12;12
6561;30;36;36;36;36
28218;3;4;4;4;4
28087;18;18;18;18;18
34540;12;12;12;47;81
37294;22;22;22;22;22
31095;30;56;65;65;65
34394;30;32;37;124;142
37006;26;26;26;26;26
36332;19;23;23;23;23
27882;20;20;20;20;20
34591;16;27;28;85;149
36475;13;19;19;20;48
34541;21;25;25;45;72
34542;22;34;39;77;100
36341;6;6;6;6;87
28153;23;27;38;52;52
37289;27;56;76;126;126
28578;26;26;26;26;26
25445;6;6;11;100;189
36369;29;56;82;152;197
36373;11;38;54;88;101
37286;20;20;20;74;74
28421;15;37;38;68;152
37281;30;59;64;102;102
34241;30;42;42;77;79
36738;30;34;34;34;115
36345;30;33;52;141;213
36374;15;15;15;42;65
34503;18;18;30;110;143
36379;15;39;39;66;96
37116;18;18;26;35;35
37635;5;5;5;5;5
36426;8;8;8;8;8
2804;6;6;6;29;42
34613;30;56;76;133;138
34608;30;54;78;136;160
36360;27;42;42;42;42
36740;30;35;35;35;35
36371;30;33;33;33;33
24915;15;33;45;114;149
28871;17;17;17;17;65
28590;15;15;15;15;20
28498;14;14;14;14;129
34269;7;7;26;112;133
28518;3;3;3;3;3
36936;20;20;20;49;49
28343;23;27;27;27;27
35658;23;23;23;23;23
6849;7;7;8;13;27
26862;5;5;22;53;91
28446;30;34;34;34;34
37188;22;24;24;50;50
28835;5;12;33;85;145
26867;30;45;45;73;97
37187;25;40;40;59;59
36926;30;36;36;36;36
36916;26;26;26;26;26
26872;10;20;46;135;258
34491;30;59;61;61;61
34523;30;45;45;45;45
34501;6;6;6;6;36
36938;30;55;81;156;156
34606;30;54;68;114;129
35664;19;36;47;93;97
37019;16;16;16;16;16
36793;16;16;16;65;71
37342;30;59;59;59;59
36372;27;54;80;85;85
34607;30;54;80;133;152
36338;30;50;60;108;113
35657;30;47;70;70;94
36368;30;36;43;45;57
2818;9;9;16;44;53
34589;19;36;37;123;164
28683;24;40;43;69;90
33454;8;35;61;102;126
36798;26;26;26;76;76
37290;13;22;38;38;38
28840;20;20;26;39;62
20629;18;19;19;19;19
2902;5;5;15;27;27
3054;5;5;5;10;29
28362;30;59;65;122;238
26999;30;53;53;55;64
28822;19;36;56;70;151
36065;26;26;39;54;54
22581;7;25;34;49;62
2941;19;25;25;25;36
37686;24;24;24;24;24
35632;21;23;23;35;35
21447;9;19;19;19;23
36283;17;17;17;17;17
35713;17;17;17;27;27
24815;16;16;16;20;37
27423;14;14;14;14;103
23626;14;14;14;15;52
29983;12;12;12;24;40
33512;5;12;12;12;20
7542;8;8;10;22;53
36853;30;46;46;46;46
31915;8;34;34;66;144
26861;30;32;56;81;96
34552;27;27;27;27;55
33058;16;16;16;16;16
2817;11;11;11;14;37
32908;4;4;4;30;79
37341;30;59;59;59;59
37190;25;51;67;88;88
32946;30;46;46;46;46
28447;30;36;36;37;40
34610;30;36;36;36;36
3027;30;34;34;34;34
33556;19;29;35;35;47
32934;17;21;21;21;33
2089;14;16;16;16;16
3337;15;15;17;17;27
34553;8;10;10;23;49
37023;8;8;8;17;17
28815;8;8;25;51;139
33241;8;8;8;8;26
36302;8;8;14;14;14
364;6;6;6;6;18
36713;30;54;54;69;110
37394;24;50;70;83;83
34143;20;34;34;34;34
293;30;32;32;32;53
33757;18;31;33;33;33
7822;25;25;51;140;263
33358;11;21;38;38;39
28712;19;19;19;36;60
2340;19;19;19;32;38
32880;11;17;17;17;17
37015;16;16;16;41;41
33225;16;16;16;22;44
21448;6;16;23;53;112
21819;14;14;14;20;32
2504;14;14;14;24;25
37674;12;12;12;12;12
